t,x
1.1980000000000002,-0.19767
1.199,-0.444687
1.2000000000000002,-0.478085
1.201,-0.155177
1.2020000000000002,-0.436292
1.203,-0.656058
1.2040000000000002,-0.383849
1.205,-0.339443
1.2060000000000002,-0.57144
1.207,-0.738704
1.2080000000000002,-0.035056
1.209,-0.277314
1.2100000000000002,-0.302897
1.211,-0.447796
1.2120000000000002,-0.32628
1.213,-0.376101
1.2140000000000002,-0.308432
1.215,-0.349885
1.2160000000000002,-0.349152
1.217,-0.13469
1.2180000000000002,-0.79
1.219,-0.394425
1.2200000000000002,-0.135437
1.221,-0.516456
1.2220000000000002,-0.278889
1.223,-0.538597
1.2240000000000002,-0.108977
1.225,-0.19066
1.2260000000000002,-0.450382
1.227,-0.478843
1.2280000000000002,-0.614813
1.229,0.101688
1.2300000000000002,-0.4923
1.231,-0.376424
1.2320000000000002,-0.020704
1.233,-0.49057
1.2340000000000002,-0.281271
1.235,-0.549668
1.2360000000000002,-0.181343
1.237,-0.298239
1.2380000000000002,-0.460135
1.239,-0.507448
1.24,-0.71661
1.241,-0.241622
1.242,-0.2636
1.243,-0.547482
1.244,0.004294
1.245,0.04274
1.246,-0.429249
1.247,-0.396166
1.248,-0.438965
1.249,-0.32265
1.25,-0.099465
1.251,-0.687493
1.252,-0.160939
1.253,-0.371733
1.254,-0.249381
1.255,-0.336621
1.256,-0.375834
1.257,-0.674695
1.258,-0.206306
1.259,-0.001183
1.26,-0.486321
1.261,-0.104767
1.262,-0.793874
